comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.255616188049316,5.0,5.0,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.1091837882995605,5.12,5.12,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.1740799993276596,0.04,0.04,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.917503356933594,4.96,4.96,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.86016082763672,4.98,4.98,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.929792404174805,4.96,4.96,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.10751999914646149,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.141088008880615,5.09,5.09,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.051839828491211,5.16,5.16,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.2320637702941895,5.01,5.01,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.211584091186523,5.03,5.03,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.13516800105571747,0.06,0.06,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.692224502563477,5.03,5.03,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,17.281024932861328,4.86,4.86,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.79871940612793,5.0,5.0,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.10547199845314026,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.047743797302246,5.17,5.17,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.122496128082275,5.1,5.1,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.170623779296875,5.06,5.06,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.289408206939697,4.97,4.97,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.14028799533843994,0.05,0.05,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.827360153198242,4.99,4.99,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.694271087646484,5.03,5.03,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.918527603149414,4.96,4.96,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.11059200018644333,0.07,0.07,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.038527965545654,5.18,5.18,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.102015972137451,5.12,5.12,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.107135772705078,5.12,5.12,1
CommType.broadcast,CommGroup.dp_group,8,33554432,init._broadcast_model,None,0,,6.264832019805908,4.99,4.99,1
CommType.broadcast,CommGroup.dp_group,8,8192,init._broadcast_model,None,0,,0.2682879865169525,0.03,0.03,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,16.6297607421875,5.05,5.05,1
CommType.broadcast,CommGroup.dp_group,8,90177536,init._broadcast_model,None,0,,17.22163200378418,4.88,4.88,1
